short_name,long_name,Census Tract,2007-2011,2012-2016
hh_inc_med_adj,Median household income ($2017),36047055100,55680.519138698,74022.0626127238
hh_inc_med_adj,Median household income ($2017),36047055200,51093.1389725414,40937.9190097393
hh_inc_med_adj,Median household income ($2017),36047055300,62836.918915864,98700.8414937444
hh_inc_med_adj,Median household income ($2017),36047033000,24959.5972840084,23896.7659332106
hh_inc_med_adj,Median household income ($2017),36047033100,32054.2105135679,38137.1503426803
hh_inc_med_adj,Median household income ($2017),36047033300,45730.7170250042,43813.1165492757
hh_inc_med_adj,Median household income ($2017),36047033500,58715.647793055,53867.1317752928
hh_inc_med_adj,Median household income ($2017),36047033600,66636.2496064073,73211.5016042375
hh_inc_med_adj,Median household income ($2017),36047033700,44917.7361354443,55790.0475765572
hh_inc_med_adj,Median household income ($2017),36047033900,42270.6703590373,37285.8063903708
hh_inc_med_adj,Median household income ($2017),36047034000,23861.5310958429,21240.7767167239
hh_inc_med_adj,Median household income ($2017),36047034100,41088.0541583575,51355.9220093786
hh_inc_med_adj,Median household income ($2017),36005018500,26068.5032173681,29053.7691796556
hh_inc_med_adj,Median household income ($2017),36005018900,29229.372915977,22444.8931331042
hh_inc_med_adj,Median household income ($2017),36005019300,19666.5497057138,22940.4059005563
hh_inc_med_adj,Median household income ($2017),36005019400,53076.8123430675,56925.8525620337
hh_inc_med_adj,Median household income ($2017),36005019500,41867.4318378156,27828.2417177681
hh_inc_med_adj,Median household income ($2017),36005019700,32170.1957871451,22039.1028420633
hh_inc_med_adj,Median household income ($2017),36005019900,28161.658014355,34055.7972395725
hh_inc_med_adj,Median household income ($2017),36005020000,34252.5108389378,45576.9788696296
hh_inc_med_adj,Median household income ($2017),36005020100,36200.4130503234,30873.7080477664
hh_inc_med_adj,Median household income ($2017),36005020200,47677.5352618704,35621.8622823838
hh_inc_med_adj,Median household income ($2017),36005020400,46540.4459910059,43212.5877014789
hh_inc_med_adj,Median household income ($2017),36005020501,25949.2660202327,23647.989975889
hh_inc_med_adj,Median household income ($2017),36005020502,25969.8615361015,16084.7930438745
hh_inc_med_adj,Median household income ($2017),36005020601,47882.4064460395,52296.9884380992
hh_inc_med_adj,Median household income ($2017),36005020900,24098.9215155943,32010.5326068384
hh_inc_med_adj,Median household income ($2017),36005021001,54080.5727480441,51386.509217246
hh_inc_med_adj,Median household income ($2017),36005021002,46187.0702976772,55457.6665843981
hh_inc_med_adj,Median household income ($2017),36005021100,26902.0796227969,26390.6429479999
hh_inc_med_adj,Median household income ($2017),36005021200,54059.9772321753,54959.0950961593
hh_inc_med_adj,Median household income ($2017),36005021301,23358.5669188351,16741.3984394282
hh_inc_med_adj,Median household income ($2017),36005021302,27659.7778118667,32058.4525658307
hh_inc_med_adj,Median household income ($2017),36005021501,34653.5814111207,27341.9051126763
hh_inc_med_adj,Median household income ($2017),36005021502,26734.0635722878,19875.5676722419
hh_inc_med_adj,Median household income ($2017),36005021601,30348.0346200115,26663.8886716154
hh_inc_med_adj,Median household income ($2017),36005021602,51405.3236341324,43673.4349666812
hh_inc_med_adj,Median household income ($2017),36005021700,22221.4776479707,24432.0420708902
hh_inc_med_adj,Median household income ($2017),36005021800,38630.6839228478,34984.6287851461
hh_inc_med_adj,Median household income ($2017),36005021900,34024.8761898611,23543.9934691398
hh_inc_med_adj,Median household income ($2017),36005022000,14904.6496419316,26975.878191863
hh_inc_med_adj,Median household income ($2017),36005022101,29002.8222414197,27528.4870806675
hh_inc_med_adj,Median household income ($2017),36005022102,23360.734867874,20323.1604807017
hh_inc_med_adj,Median household income ($2017),36005022200,37236.6926908824,41008.2695878344
hh_inc_med_adj,Median household income ($2017),36005022300,26645.177661696,24415.7288933609
hh_inc_med_adj,Median household income ($2017),36005022401,38561.3095536053,47155.2787955879
hh_inc_med_adj,Median household income ($2017),36005022403,28099.8714667485,39729.7242989767
hh_inc_med_adj,Median household income ($2017),36005022404,50244.3869238408,44714.4196077687
hh_inc_med_adj,Median household income ($2017),36005022500,34726.2077039214,29845.9778634215
hh_inc_med_adj,Median household income ($2017),36005022701,35229.1718809291,30809.4749112448
hh_inc_med_adj,Median household income ($2017),36005022702,55929.8332781631,23896.7659332106
hh_inc_med_adj,Median household income ($2017),36005022703,47391.3659887453,43949.7394110835
hh_inc_med_adj,Median household income ($2017),36005022800,45046.7291032545,51900.3743094185
hh_inc_med_adj,Median household income ($2017),36005004001,52464.3667395991,50681.9838627
hh_inc_med_adj,Median household income ($2017),36005004100,21410.6647074496,18754.0367171036
hh_inc_med_adj,Median household income ($2017),36005004200,39933.6212951824,23705.0860972415
hh_inc_med_adj,Median household income ($2017),36005004300,28228.8644345587,21972.8305583506
hh_inc_med_adj,Median household income ($2017),36005004400,17682.8763351876,21130.6627684013
hh_inc_med_adj,Median household income ($2017),36005004600,29357.2819092678,41420.1773204488
hh_inc_med_adj,Median household income ($2017),36005004800,28306.9105999564,30769.7115410172
hh_inc_med_adj,Median household income ($2017),36005005001,31570.7578779096,27817.0264082167
hh_inc_med_adj,Median household income ($2017),36005005002,28319.9182941894,28558.2564122036
hh_inc_med_adj,Median household income ($2017),36005005100,17972.2975318709,20041.7581683215
hh_inc_med_adj,Median household income ($2017),36005005200,30215.7897286431,19287.2737075921
hh_inc_med_adj,Median household income ($2017),36005005300,17788.0218635707,15437.363810681
hh_inc_med_adj,Median household income ($2017),36005005400,32608.121492988,30441.4088432404
hh_inc_med_adj,Median household income ($2017),36005005600,29228.2889414576,19288.2932811877
hh_inc_med_adj,Median household income ($2017),36005005902,38661.0352093913,30493.407096615
hh_inc_med_adj,Median household income ($2017),36005006000,41101.0618525905,40561.6963529702
hh_inc_med_adj,Median household income ($2017),36005006100,44410.436060359,43549.0469880204
hh_inc_med_adj,Median household income ($2017),36005006200,27117.7905521601,25321.1102462362
hh_inc_med_adj,Median household income ($2017),36005006300,32435.7695444013,32550.906612496
hh_inc_med_adj,Median household income ($2017),36005006400,47478.0839502983,28463.4360678146
hh_inc_med_adj,Median household income ($2017),36005006500,25657.6768745105,22802.7634651529
hh_inc_med_adj,Median household income ($2017),36005006700,19331.6015792151,21354.9689594289
hh_inc_med_adj,Median household income ($2017),36005006800,37019.8977869997,48799.8510052589
hh_inc_med_adj,Median household income ($2017),36005006900,22826.3354298032,27031.9547396199
hh_inc_med_adj,Median household income ($2017),36005007000,38800.8679223956,34065.9929755283
hh_inc_med_adj,Median household income ($2017),36005007100,36234.0162604252,38482.785791582
hh_inc_med_adj,Median household income ($2017),36005007200,47863.9788792094,35717.7022003683
hh_inc_med_adj,Median household income ($2017),36005007300,24073.9901016478,20315.003891937
hh_inc_med_adj,Median household income ($2017),36005007400,58282.0579852897,40145.7103259735
hh_inc_med_adj,Median household income ($2017),36005007500,31185.9469235179,26917.7624969149
hh_inc_med_adj,Median household income ($2017),36005007600,37758.0844347201,35458.7305070909
hh_inc_med_adj,Median household income ($2017),36005007700,34190.7242913313,31517.0589865776
hh_inc_med_adj,Median household income ($2017),36005007800,43073.8954779225,40867.5684316443
hh_inc_med_adj,Median household income ($2017),36005007900,18800.4540647026,26153.0823002297
hh_inc_med_adj,Median household income ($2017),36005008300,25632.745460564,23148.3989140546
hh_inc_med_adj,Median household income ($2017),36005008400,54029.6259456317,68268.6088128643
hh_inc_med_adj,Median household income ($2017),36005008500,28031.5810720254,28958.9488352666
hh_inc_med_adj,Median household income ($2017),36005008600,23695.6829943726,22172.6669830843
hh_inc_med_adj,Median household income ($2017),36005008700,28454.3311345966,29722.6094583563
