,census_tract,median_income_07_to_11,median_income_12_to_16,median_rent_07_to_11,median_rent_12_to_16
90,36005020200,47677.5352618704,35621.8622823838,1201.04376750983,1137.84413266759
91,36005020400,46540.4459910059,43212.5877014789,1220.5553088592699,1362.1503236952499
92,36005020501,25949.2660202327,23647.989975889,693.74369242445,838.089495566989
93,36005020502,25969.8615361015,16084.793043874499,678.568049152666,978.7906517570669
94,36005020601,47882.4064460395,52296.9884380992,1308.35724493174,1526.30167258368
95,36005020900,24098.921515594302,32010.5326068384,991.8366852630811,1097.06118884438
96,36005021001,54080.5727480441,51386.509217246,1146.8450415391699,1182.70537087312
97,36005021002,46187.0702976772,55457.666584398095,1146.8450415391699,1196.97940121125
98,36005021100,26902.0796227969,26390.642947999902,987.500787185429,1040.98464108746
99,36005021200,54059.977232175304,54959.0950961593,1197.79184395159,1228.58618267424
100,36005021301,23358.5669188351,16741.3984394282,708.9193356962351,956.360032654301
101,36005021302,27659.777811866697,32058.4525658307,1010.2642520931099,1086.86545288858
102,36005021501,34653.5814111207,27341.9051126763,1046.03541123374,1077.68929052835
103,36005021502,26734.0635722878,19875.5676722419,1010.2642520931099,1059.33696580791
104,36005021601,30348.0346200115,26663.8886716154,1160.93671029154,1238.78191863004
105,36005021602,51405.3236341324,43673.4349666812,1181.53222616039,1213.2925787405302
106,36005021700,22221.4776479707,24432.042070890202,1001.5924559378,1080.7480113151
107,36005021800,38630.6839228478,34984.6287851461,1125.16555115091,1183.7249444687
108,36005021900,34024.8761898611,23543.9934691398,1049.2873347919801,1185.76409165986
109,36005022000,14904.649641931599,26975.878191862997,1309.4412194511501,1249.99722818142
110,36005022101,29002.8222414197,27528.4870806675,1108.90593335971,1090.9437472709
111,36005022102,23360.734867873998,20323.1604807017,1023.2719463260601,1177.6075028952198
112,36005022200,37236.6926908824,41008.2695878344,1214.05146174279,1294.85846638695
113,36005022300,26645.177661696,24415.728893360898,939.805908331248,1054.23909783001
114,36005022401,38561.3095536053,47155.2787955879,1192.37197135452,1315.24993829856
115,36005022403,28099.8714667485,39729.7242989767,1165.27260836919,1383.5613692024401
116,36005022404,50244.3869238408,44714.4196077687,1171.7764554856699,1222.4687411007499
117,36005022500,34726.2077039214,29845.9778634215,1162.0206848109501,1148.03986862339
118,36005022701,35229.171880929105,30809.4749112448,1024.3559208454801,1176.58792929964
119,36005022702,55929.833278163096,23896.7659332106,1043.8674621949199,993.0646820951911
120,36005022703,47391.3659887453,43949.7394110835,1170.6924809662598,1221.44916750517
121,36005022800,45046.7291032545,51900.3743094185,1215.1354362622,1336.66098380574
122,36005004001,52464.3667395991,50681.9838627,,
123,36005004100,21410.6647074496,18754.0367171036,574.506495288998,548.53059442219
124,36005004200,39933.621295182405,23705.0860972415,681.819972710905,830.9524803979269
125,36005004300,28228.8644345587,21972.8305583506,767.453959744548,801.384846126099
126,36005004400,17682.8763351876,21130.6627684013,417.330189974083,489.39532587853404
127,36005004600,29357.281909267796,41420.1773204488,791.301399171639,823.815465228865
128,36005004800,28306.9105999564,30769.7115410172,1029.77579344254,1116.4330871604
129,36005005001,31570.7578779096,27817.026408216698,1159.85273577213,1316.2695118941401
130,36005005002,28319.9182941894,28558.2564122036,978.828991030123,1190.8619596377698
131,36005005100,17972.2975318709,20041.7581683215,491.040457294181,532.217416892905
132,36005005200,30215.7897286431,19287.2737075921,879.1033352441079,672.918573082984
133,36005005300,17788.021863570702,15437.363810681001,745.774469356284,964.516621418943
134,36005005400,32608.121492987997,30441.4088432404,1130.58542374797,1227.56660907866
135,36005005600,29228.2889414576,19288.2932811877,1001.5924559378,1076.66971693277
136,36005005902,38661.035209391295,30493.407096615,1055.79118190846,1280.5844360488302
137,36005006000,41101.0618525905,40561.6963529702,1069.8828506608302,1139.88327985875
138,36005006100,44410.436060359,43549.046988020404,922.462316020636,
139,36005006200,27117.7905521601,25321.1102462362,789.1334501328121,716.7602376929359
140,36005006300,32435.769544401297,32550.906612496,1132.7533727868,1184.74451806428
141,36005006400,47478.0839502983,28463.4360678146,1280.1739074269901,1226.54703548307
142,36005006500,25657.676874510496,22802.7634651529,962.569373238925,1003.26041805099
143,36005006700,19331.6015792151,21354.968959428898,612.4456034684599,709.623222523874
144,36005006800,37019.8977869997,48799.8510052589,1228.14313049516,1252.03637537258
145,36005006900,22826.3354298032,27031.9547396199,783.713577535746,890.087748941583
146,36005007000,38800.8679223956,34065.9929755283,1279.08993290758,1313.2107911074002
147,36005007100,36234.016260425204,38482.785791582,482.36866113887606,1030.78890513166
148,36005007200,47863.978879209404,35717.7022003683,1171.7764554856699,1164.35304615268
149,36005007300,24073.990101647796,20315.003891936998,872.5994881276289,982.868946139388
150,36005007400,58282.0579852897,40145.7103259735,976.661041991297,1299.95633436485
151,36005007500,31185.946923517902,26917.762496914904,614.613552507286,808.521861295161
152,36005007600,37758.0844347201,35458.7305070909,1218.38735982044,1249.99722818142
153,36005007700,34190.7242913313,31517.0589865776,1104.57003528205,1244.8993602035198
154,36005007800,43073.8954779225,40867.5684316443,1165.27260836919,1333.602263019
155,36005007900,18800.4540647026,26153.082300229704,551.743030381321,716.7602376929359
156,36005008300,25632.745460563998,23148.3989140546,901.866800151786,906.400926470867
157,36005008400,54029.6259456317,68268.6088128643,,
158,36005008500,28031.5810720254,28958.9488352666,1014.6001501707599,1022.6323163670199
159,36005008600,23695.682994372597,22172.666983084302,543.071234226015,415.986026996754
160,36005008700,28454.331134596603,29722.6094583563,990.7527107436681,1047.10208266095
161,36005008900,20390.6446846818,27233.8303115448,755.5302400310029,947.183870294078
162,36005009000,26727.559725171403,29191.4116150589,466.109043347678,446.573234864162
163,36005009200,44191.4732074375,39465.6547377214,1308.35724493174,1300.97590796044
164,36005009300,34055.2274764046,31414.082053423997,1005.9283540154499,1179.64665008638
165,36005009600,47067.257607440704,48174.8523911681,1405.91495167893,1555.8693068554999
166,36005009800,57330.3283572449,55064.1111765041,1199.9597929904198,1413.1290034742701
167,36005011000,,,1047.11938575315,1433.52047538587
168,36005011502,21264.328147328797,22757.9022269474,958.2334751612719,1017.5344483891199
169,36005011700,12803.907023308799,27018.700282877402,976.661041991297,1115.41351356482
170,36005011800,80163.1676341647,86712.6951569115,,
171,36005011900,22887.0380028904,23678.577183756403,1021.10399728724,959.418753441042
172,36005012101,36353.253457560604,29867.3889089287,1168.5245319274302,1032.82805232282
173,36005012102,13355.6500536901,19057.8696485866,815.148838598729,504.68892981223803
174,36005012300,19093.1271849442,24953.0441782317,759.8661381086561,675.977293869724
175,36005012500,34952.7583784788,28914.087597061098,1117.5777295150099,1110.3156455869198
176,36005012701,16194.579320033301,19144.533404210903,578.842393366651,747.3474455603439
177,36005012901,19211.2804075602,20639.2282953316,930.0501376565289,960.438327036622
178,36005013000,88774.26121638321,77985.1451787443,,
179,36005013100,27281.4707045915,29683.865661724198,892.111029477067,918.635809617831
180,36005013200,88869.6509740915,102220.409545688,,
181,36005013300,21445.3518920708,22156.353805555,455.269298153546,688.212177016688
182,36005013500,20267.071589468702,26454.8760845215,611.361628949047,715.7406640973551
183,36005013800,73078.31017528,71979.85670077651,,
184,36005014100,30375.133982996802,31003.193894405096,928.9661631371159,1095.02204165322
185,36005014300,17933.274449172,17121.6993905796,775.041781380441,551.589315208931
186,36005014400,25630.5775115252,24504.431796176403,488.872508255355,578.0982286940181
187,36005014500,23629.560548688398,24776.657946196297,801.0571698463581,919.6553832134109
188,36005014701,18403.719390597398,16486.505040533102,488.872508255355,444.534087673001
189,36005014702,19454.0906999088,18633.7270328252,461.773145270025,509.786797790139
190,36005014900,29809.2992838631,25547.455584455,866.0956410111501,1000.20169726425
191,36005015100,29884.0935257026,33423.6616103127,1125.16555115091,1055.2586714255901
192,36005015200,61651.050791625996,71819.7836462704,1429.76239110602,
193,36005015300,22187.8744378689,19020.1454255501,1091.5623410491,1118.47223435157
194,36005015500,28205.016995131602,17779.3243597289,894.278978515893,778.954227023333
195,36005015700,30680.8147974713,34319.8668008277,1014.6001501707599,1023.6518899626
196,36005015800,56266.9493537006,68428.6818673704,1249.8226208834199,
197,36005015900,18617.2623709218,15327.249862358301,677.484074633252,394.574981489568
198,36005016000,83929.9790891255,82075.6744442124,,1725.1185237218301
199,36005016100,19794.4586990045,15930.8374309418,732.7667751233259,463.90598598902704
200,36005016200,96654.75597251712,72199.0650238262,1462.2816266884101,
201,36005016300,,,,
202,36005016400,86853.458367983,66272.2837127181,,
203,36005016500,34455.2140740681,25928.7761092021,1308.35724493174,1083.80673210184
204,36005016600,87810.60786862481,70211.9160860403,,
205,36005016700,42512.3966768664,26763.8068839823,1007.01232853487,1059.33696580791
206,36005016900,32350.1355573677,25489.339889507002,818.400762156969,835.030774780248
207,36005017100,,,,
208,36005017300,20731.0126837775,17842.5379226549,843.3321761034731,803.423993317259
209,36005017500,16250.9459950428,27212.4192660376,780.461653977507,762.641049494048
210,36005017701,24801.3370041741,25333.345129383197,1132.7533727868,1201.0576955935699
211,36005017702,22709.2661817066,27473.430106506203,1014.6001501707599,1152.11816300571
212,36005017901,23729.2862044744,29554.379815085496,1165.27260836919,1146.00072143223
213,36005017902,23885.3785352699,20301.7494351945,1075.3027232579,1138.86370626317
214,36005018101,36245.939980138704,25441.4199305147,1193.45594587394,1107.25692480018
215,36005018102,38439.904407431,37474.4275055531,1017.8520737289999,1132.7462646896902
216,36005018301,35535.9366699231,30693.2435213487,1111.07388239853,1115.41351356482
217,36005018302,39031.754495030604,29386.1501718148,1119.74567855384,1201.0576955935699
218,36005018400,69473.0109237116,63448.064852960706,,1390.6983843715
219,36047034200,20385.2248120847,18150.4491485201,524.643667395991,447.59280845974195
220,36047034300,23034.4585375306,25320.0906726406,614.613552507286,697.3883393769099
221,36047034500,45797.9234452079,27657.9729273062,1137.08927086445,1260.1929641372199
222,36047034700,27742.1598753421,37358.196115657,846.584099661712,982.868946139388
223,36047034800,45408.7765927385,58090.2056081864,1237.89890116988,1561.9867484289903
224,36047034900,37532.6177346822,31059.270442162004,1051.45528383081,1249.99722818142
225,36047035000,37921.7645871515,35201.797961004704,988.5847617048421,1063.4152601902301
226,36047035100,29073.2805851815,33041.3215119701,1170.6924809662598,1085.845879293
227,36047035200,10299.9258834643,11668.000227820701,300.260941877457,291.59804833596
228,36047035300,38017.154344859904,40346.566324302796,1095.89823912675,1179.64665008638
229,36047035400,46084.0927183329,51318.1977863421,,
230,36047035500,32415.1740285324,48163.6370816168,1178.28030260215,1281.6040096444099
231,36047035601,45995.2068077411,45263.96977578651,869.3475645693891,915.5770888310901
232,36047035602,43545.4243938672,36500.734721774,1054.70720738905,1206.1555635714699
233,36047035700,14710.618202956599,23543.9934691398,1042.7834876755,1103.17863041786
234,36047035900,30229.881397395402,31441.6105405046,1131.66939826738,1160.27475177036
235,36047036001,29441.831921782003,20081.521538549197,971.241169394231,994.084255690771
236,36047036002,15740.3939963991,17478.5501490327,880.1873097635221,1085.845879293
237,36047036100,16425.4658926683,27752.793271695202,939.805908331248,1028.7497579405
238,36047036200,30782.7084022962,30187.5350179409,1016.76809920959,1171.49006132174
239,36047036300,40671.8079429028,29114.9435953904,1160.93671029154,1109.29607199134
240,36047036400,40727.0906433929,36004.202380726405,1182.61620067981,1316.2695118941401
241,36047036501,38330.422980970296,41644.4835114765,886.691156880001,956.360032654301
242,36047036502,53083.31619018401,34410.6088508344,1256.3264679999002,1042.0042146830401
243,36047036600,51712.0884231263,40587.185692859704,1124.08157663149,1280.5844360488302
244,36047036700,56031.7268829879,42790.484232908704,1087.22644297144,1229.60575626982
245,36047036900,21756.4525791424,41406.9228637063,902.950774671199,1160.27475177036
246,36061013500,43609.3788905126,73731.4841379834,1011.34822661252,1373.36563324663
247,36061013600,106423.534341469,103541.77692556,1989.09324312323,2246.1206310633497
248,36061013700,142271.655672983,134792.727203691,,2903.74560021263
249,36061013800,102567.836975916,124479.740284396,1909.9631032060602,2188.00493611528
250,36061022700,45840.198451465,51992.135933020705,1229.2271050145698,1352.97416133503
251,36061022800,36706.629150889305,32106.372524822997,963.653347758338,1057.29781861675
252,36061022900,40126.568759638,43613.280124542005,1129.50144922856,1212.27300514495
253,36061023000,28990.898521706098,34590.0538036565,794.5533227298779,793.228257361456
254,36061023100,42043.035709960495,44390.1952043742,1050.3713093113902,1336.66098380574
255,36061023200,24857.7036791836,32390.833557989903,687.239845307971,834.0112011846679
256,36005029600,45053.232950371,52508.040172384295,1052.5392583502198,1339.7197045924902
257,36005029700,96303.5482282273,89106.653959334,,
258,36005030000,55636.0761834021,60939.9138078332,1193.45594587394,1407.01156190078
259,36005030100,96609.2290427018,77487.5932641011,1025.43989536489,
260,36005030200,55256.6851016075,53431.7738499801,,1070.55227535929
261,36005030701,94350.2261442447,86106.0488675412,1570.6790786297302,1842.3694872135602
262,36005030900,102144.002938826,105738.958024035,,
263,36005031000,96791.3367619632,83308.33892126901,,
264,36005031200,74947.0822467483,69612.4068118391,,
265,36005031400,81109.4773896124,84398.2630949443,,
266,36005031600,87792.18030179481,63919.107854118796,,
267,36005031800,64936.5775599674,63612.2162018491,,
268,36005031900,,,,
269,36005032300,78282.47184298269,90746.12830102711,,
270,36005032400,31759.3694442875,26126.5733867446,636.293042895551,578.0982286940181
271,36005032600,76213.1644854229,58296.1594744936,,
272,36005032800,41160.6804511582,26961.6041615249,985.3328381466021,850.324378713952
273,36005033000,42935.146739437594,38384.9067264063,1083.9745194132001,1070.55227535929
274,36005033201,49118.1373981705,45395.4947696163,1156.60081221389,1288.74102481347
275,36005033202,27541.6245892507,43484.813851498904,1127.33350018973,1188.8228124466
276,36005033400,47133.3800531249,46730.1166062309,1284.5098055046499,1254.0755225637402
277,36005033500,98912.6748964548,100470.821255672,,
278,36005033600,28177.9176321462,33159.5920490574,932.218086695355,928.831545573634
279,36005033700,98095.35810881731,89212.6896132743,,
280,36005033800,42937.3146884764,42694.6443149242,1215.1354362622,1228.58618267424
281,36005034000,47029.3184992613,35744.2111138534,1170.6924809662598,1214.3121523361099
282,36005034200,60973.5667169927,49643.0383688037,1287.76172906289,1274.46699447535
283,36005034300,56663.6840278058,73215.5798986198,1229.2271050145698,1552.8105860687601
284,36005034400,42187.2043210425,62546.7617944677,,
285,36005034500,80583.749747697,58160.5561862814,1373.3957160965301,1494.69489112069
286,36005034800,46746.40114969441,36868.8007897784,621.117399623766,655.585821958119
287,36005035000,70683.8104618962,54855.098589410096,,1573.2020579803698
288,36005035100,67356.0086872977,76428.2562982932,1168.5245319274302,1509.98849505439
289,36005035600,91112.3942547574,65236.396939608494,,
290,36005035800,69404.7205289886,67758.8220150741,,
291,36005035900,26583.391114089398,25837.0144855998,1100.2341372044,996.1234028819321
292,36005036000,72817.0723161014,64644.024680576396,,
293,36005036100,15382.6824049928,21513.0028667439,601.605858274328,571.980787120536
294,36005036300,23902.7221275806,18485.888861466003,1056.8751564278698,955.340459058721
295,36005036400,56739.5622441647,64997.8167182427,1309.4412194511501,
296,36005036501,32886.702944477205,21450.8088774135,1029.77579344254,916.5966624266699
297,36005036502,23796.4926246781,22537.6743303021,1029.77579344254,972.673210183586
298,36005036700,24803.5049532129,24077.2304596283,983.164889107776,1108.27649839576
299,36005036800,78834.21487336411,45152.836253868205,,1459.0098152753799
300,36005022901,27932.9393907588,29312.740872932998,1076.38669777731,1106.2373512046001
301,36005022902,25052.819092677997,28286.0302621837,1070.96682518025,1101.1394832267
302,36005023000,37261.6241048289,38527.6470297876,1203.21171654866,1297.91718717369
303,36005023100,38371.614012708,26995.250090179,986.4168126660151,1205.13598997589
304,36005023200,48409.2180624743,52864.890930837406,1428.6784165866,1230.6253298653999
305,36005023301,30834.739179228,23473.642891044703,1096.98221364616,1085.845879293
306,36005023302,24458.8010560395,26213.237142369,1157.6847867333,1321.3673798720401
307,36005023501,38205.765911237795,26360.0557401325,1099.1501626849902,1149.05944221897
308,36005023502,21721.7653945212,21581.3142976478,987.500787185429,1089.92417367532
309,36005023600,34958.1782510758,40087.5946310254,978.828991030123,1369.28733886431
310,36005023702,13211.481442608101,32805.800011391,847.668074181125,1205.13598997589
311,36005023703,33572.858815265696,30023.3836690525,1063.3790035443499,1187.8032388510198
312,36005023704,23179.711123132,22249.1350027528,1070.96682518025,1176.58792929964
313,36005023800,50194.5240959478,47393.8590169537,1431.93034014484,1453.91194729748
314,36005023900,24962.849207566698,20955.2961099615,1063.3790035443499,1158.2356045792
315,36005024000,38616.5922540954,33476.6794372829,1243.31877376694,1269.36912649745
316,36005024100,28369.7811220824,25489.339889507002,1046.03541123374,1097.06118884438
317,36005024300,29443.9998708209,20268.1035065404,983.164889107776,1014.4757276023801
318,36005024400,92928.05157477461,55439.314259677594,1167.44055740802,1307.09334953392
319,36005024501,29294.4113871418,22320.5051544435,971.241169394231,1056.2782450211698
320,36005024502,38408.4691463681,28937.537789759503,963.653347758338,1131.72669109411
321,36005024600,69487.102592464,63666.2536024149,,
322,36005024700,54701.6901476679,42678.3311373949,1205.37966558748,1225.52746188749
323,36005024800,75878.2163589243,61599.577924173704,1259.57839155814,1272.42784728419
324,36005024900,,,,
325,36005025000,50900.1915080858,72963.7452205115,1232.47902857281,1320.34780627646
326,36005025100,33674.7524200906,26557.853017675097,1166.3565828886099,1085.845879293
327,36005025200,59129.7260594708,58046.3639435764,1157.6847867333,1424.34431302565
328,36005025300,30910.617395586898,30002.9921971408,1038.44758959785,1183.7249444687
329,36005025400,49118.1373981705,54069.007347217695,1127.33350018973,1358.0720293129302
330,36005025500,28244.0400778304,26797.4528126365,1063.3790035443499,1079.7284377195099
331,36005025600,46408.2010996375,42170.5834867959,1225.9751814563301,1346.85671976155
332,36005025700,35544.608466078396,30318.0404381752,1057.95913094729,1180.66622368196
333,36005026100,66474.7374030147,72344.8640479942,,
334,36005026300,27505.85343011,29186.313747081,1083.9745194132001,1131.72669109411
335,36005026400,69944.5398396564,67874.03383137469,1671.4887089351598,1370.3069124598899
336,36005026500,27607.747034934902,29185.294173485498,1068.79887614142,1168.431340535
337,36005026601,53976.5111941805,59262.7152431037,1203.21171654866,1336.66098380574
338,36005026602,48681.295666847,44331.0599358305,1183.70017519922,1218.39044671843
339,36005026701,35667.0975867721,27900.631443054303,1193.45594587394,1219.41002031401
340,36005026702,34696.9403918972,37094.1265544017,1124.08157663149,1216.35129952727
341,36005026900,30610.3564537095,37146.1248077763,1064.46297806377,1028.7497579405
342,36005027300,45753.480489911904,40137.5537372088,1075.3027232579,1248.97765458584
343,36005027401,61199.0334170307,84923.3434966681,,
344,36005036901,15186.483016978998,16042.9905264557,1124.08157663149,967.575342205684
345,36005036902,37165.1503726011,23867.1982989387,799.9731953269439,862.5592618609151
346,36005037000,74422.43857935231,47261.3144495282,,1613.98500180358
347,36005037100,20776.5396135929,22916.955707857902,823.820634754035,904.361779279707
348,36005037200,56948.7693264115,46135.7052000076,1244.40274828636,1262.2321113283801
349,36005037300,30140.995486803502,32699.7643574507,1126.24952567032,1015.4953011979599
350,36005037400,21289.2595612753,27808.8698194521,710.003310215649,779.973800618913
351,36005037504,18459.0020910874,20068.2670818066,836.8283289869929,872.754997816718
352,36005037600,51639.4621303256,52851.6364740949,1153.34888865565,1476.3425664002402
353,36005037800,39875.0866711341,35336.3816756213,1179.36427712157,1219.41002031401
354,36005037900,24036.050993468398,28600.058929622403,1149.012990578,1155.17688379246
355,36005038000,37094.6920288392,36179.5690391662,1041.69951315609,1214.3121523361099
356,36005038100,28285.2311095681,35138.5843980787,1026.5238698843,1197.9989748068301
357,36005038200,46842.874881922195,45535.1763522108,,1435.55962257703
358,36005038301,26288.550044809,28748.9166745771,1059.0431054667,1184.74451806428
359,36005038302,18679.0489185283,22515.243711199302,1011.34822661252,1083.80673210184
360,36005038500,19932.12346297,21651.6648757428,986.4168126660151,1067.49355457255
361,36005038600,44336.725793038895,55114.0702826875,1218.38735982044,1335.6414102101598
362,36005038700,31205.4584648673,20869.6519279327,1140.34119442269,1199.01854840241
363,36005038800,49253.6342130972,58046.3639435764,1230.31107953399,
364,36005038900,25372.591575904902,30276.2379207564,1165.27260836919,1234.70362424772
365,36005039000,36865.9734052431,33072.9282934331,1229.2271050145698,1415.16815066543
366,36005039100,25802.9294601119,31849.4399787367,1093.73029008792,1152.11816300571
367,36005039200,33144.6888800975,40838.0007973725,1057.95913094729,1311.17164391624
368,36005039300,18237.8712891272,22009.535207791498,885.607182360587,939.027281529436
369,36005039400,37677.8703202836,35192.621798644504,1069.8828506608302,1188.8228124466
370,36005039500,29613.0998958493,24804.186433277002,811.8969150404901,1050.16080344769
371,36005039600,38554.8057064888,38882.4586410495,1434.09828918367,1297.91718717369
372,36005039700,20843.7460337965,21970.7914111594,854.171921297605,1055.2586714255901
373,36005039800,66233.0110851856,62687.462950657806,,
374,36005039901,28389.292663431803,26410.0148463159,1088.31041749086,1173.5292085129
375,36005039902,22435.020628295097,33879.4110075371,1093.73029008792,1163.3334725571
376,36005040100,36042.152770488996,29969.3462684867,1154.43286317506,1236.74277143888
377,36005040302,20172.765806279698,27687.540561577996,1036.27964055902,1212.27300514495
378,36005040303,27551.3803599254,41637.3464963074,1086.14246845203,1193.9206804245098
379,36005040304,43159.5294649561,31528.2742961289,1192.37197135452,1268.3495529018699
380,36005040400,44713.9489257947,46269.2693410286,,1207.17513716705
