,zipcode,median_income,mean_income,population,City_zill,State_zill,Metro_zill,CountyName_zill,SizeRank_zill,2010-02_zill,2010-03_zill,2010-04_zill,2010-05_zill,2010-06_zill,2010-07_zill,2010-08_zill,2010-09_zill,2010-10_zill,2010-11_zill,2010-12_zill,2011-01_zill,2011-02_zill,2011-03_zill,2011-04_zill,2011-05_zill,2011-06_zill,2011-07_zill,2011-08_zill,2011-09_zill,2011-10_zill,2011-11_zill,2011-12_zill,2012-01_zill,2012-02_zill,2012-03_zill,2012-04_zill,2012-05_zill,2012-06_zill,2012-07_zill,2012-08_zill,2012-09_zill,2012-10_zill,2012-11_zill,2012-12_zill,2013-01_zill,2013-02_zill,2013-03_zill,2013-04_zill,2013-05_zill,2013-06_zill,2013-07_zill,2013-08_zill,2013-09_zill,2013-10_zill,2013-11_zill,2013-12_zill,2014-01_zill,2014-02_zill,2014-03_zill,2014-04_zill,2014-05_zill,2014-06_zill,2014-07_zill,2014-08_zill,2014-09_zill,2014-10_zill,2014-11_zill,2014-12_zill,2015-01_zill,2015-02_zill,2015-03_zill,2015-04_zill,2015-05_zill,2015-06_zill,2015-07_zill,2015-08_zill,2015-09_zill,2015-10_zill,2015-11_zill,2015-12_zill,2016-01_zill,2016-02_zill,2016-03_zill,2016-04_zill,2016-05_zill,2016-06_zill,2016-07_zill,2016-08_zill,2016-09_zill,2016-10_zill,2016-11_zill,2016-12_zill,2017-01_zill,2017-02_zill,2017-03_zill,2017-04_zill,2017-05_zill,2017-06_zill,2017-07_zill,2017-08_zill,2017-09_zill,2017-10_zill,2017-11_zill,2017-12_zill,2018-01_zill,2018-02_zill,2018-03_zill,2018-04_zill,2018-05_zill,2018-06_zill,2018-07_zill,2018-08_zill,2018-09_zill,2018-10_zill,2018-11_zill,2018-12_zill,2019-01_zill,restaurant_count,recycling_bin_count
108,11211,37632.4577,52060.9141,84434,New York,NY,New York-Newark-Jersey City,Kings County,105.0,,,,,,,,,,,,,,,,,,,,,3300.0,3320.0,3100.0,2800.0,2800.0,2800.0,2800.0,2837.5,2895.0,2950.0,2950.0,3300.0,3200.0,3100.0,3100.0,3200.0,3000.0,3000.0,3000.0,3099.0,3150.0,3000.0,3000.0,3046.0,3250.0,3100.0,3000.0,3000.0,3000.0,3075.0,3100.0,3200.0,3200.0,3300.0,3350.0,3350.0,3300.0,3200.0,3200.0,3300.0,3200.0,3192.5,3200.0,3250.0,3372.5,3395.0,3400.0,3400.0,3259.0,3200.0,3250.0,3363.5,3400.0,3300.0,3400.0,3300.0,3282.5,3200.0,3200.0,3200.0,3650.0,3350.0,3095.0,3200.0,3297.5,3300.0,3265.0,3250.0,3200.0,3237.5,3195.0,3150.0,3197.5,3200.0,3000.0,3000.0,3097.5,3172.5,2975.0,3027.5,3195.0,3000.0,3000.0,2998.0,2899.0,2900.0,2950.0,2941.5,377.0,6.0
109,11212,27911.2921,37845.6579,85400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,0.0
110,11213,35084.8797,46614.3775,65932,New York,NY,New York-Newark-Jersey City,Kings County,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,2295.0,2390.0,2250.0,2550.0,2395.0,2375.0,2375.0,2375.0,2150.0,2225.0,2200.0,110.0,2.0
111,11214,35963.5161,48902.3504,78896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,1.0
112,11215,81331.0535,109383.9243,59307,New York,NY,New York-Newark-Jersey City,Kings County,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3200.0,3000.0,2900.0,3200.0,3100.0,3100.0,2850.0,3000.0,3000.0,3200.0,3035.5,2950.0,2850.0,2750.0,2850.0,2750.0,3000.0,2800.0,2897.5,2795.0,2695.0,2900.0,2900.0,2850.0,2850.0,2850.0,2990.0,3100.0,2950.0,2992.5,2962.5,2897.5,2899.0,2700.0,2750.0,2800.0,2700.0,2785.0,2846.0,2900.0,2850.0,2850.0,2775.0,2800.0,2800.0,2700.0,2700.0,339.0,5.0
113,11216,37290.3205,52038.2363,55021,New York,NY,New York-Newark-Jersey City,Kings County,433.0,,,,,,,,,,,,,,,,,,,,,,1662.5,1599.0,1700.0,1637.5,1600.0,1600.0,1700.0,1650.0,1695.0,1700.0,1800.0,1800.0,1700.0,1650.0,1675.0,1750.0,1800.0,1890.0,2000.0,2099.0,2100.0,2200.0,2100.0,2100.0,2199.0,2199.0,2200.0,2300.0,2300.0,2299.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2325.0,2350.0,2350.0,2399.5,2350.0,2350.0,2390.0,2400.0,2399.0,2400.0,2370.0,2400.0,2400.0,2400.0,2550.0,2550.0,2370.0,2500.0,2500.0,2550.0,2425.0,2422.5,2500.0,2400.0,2200.0,2300.0,2300.0,2395.0,2300.0,2299.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2299.0,2250.0,2299.0,2300.0,2299.5,2250.0,2300.0,2370.0,2300.0,2300.0,2300.0,2250.0,2225.0,2300.0,185.0,0.0
114,11217,72610.5963,102949.5131,35641,New York,NY,New York-Newark-Jersey City,Kings County,1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300.0,3100.0,3100.0,3300.0,3230.5,3300.0,3200.0,3475.0,3400.0,3300.0,3374.5,3100.0,3400.0,3400.0,3400.0,3200.0,3100.0,3100.0,3100.0,3300.0,3200.0,3200.0,3300.0,3150.0,3150.0,3300.0,3450.0,3300.0,3300.0,3100.0,3361.0,3450.0,3637.5,3050.0,3050.0,3361.0,3600.0,3330.5,3400.0,3250.0,3100.0,284.0,5.0
115,11218,48010.6089,61311.5804,75418,New York,NY,New York-Newark-Jersey City,Kings County,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,2500.0,2300.0,2287.5,2300.0,2275.0,2300.0,2200.0,2449.5,2349.5,2197.0,2200.0,2275.0,2100.0,2100.0,2400.0,2100.0,2250.0,2100.0,2195.0,2200.0,2300.0,2160.0,2100.0,2000.0,2200.0,2025.0,2100.0,151.0,0.0
116,11219,34969.9857,50736.5471,85825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,0.0
117,11220,37030.1129,50270.5076,92398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,4.0
