,borough,ct2010,zipcode,NTA_code,NTA_name,match_id,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA
3031,BX,413.0,10458.0,BX05,Bedford Park-Fordham North,BX413.0,5.0,2.0,413.0,3706.0
3154,BX,222.0,10462.0,BX46,Parkchester,BX222.0,5.0,2.0,222.0,3709.0
3342,MN,295.0,10034.0,MN01,Marble Hill-Inwood,MN295.0,61.0,1.0,295.0,3801.0
3847,BX,65.0,10455.0,BX34,Melrose South-Mott Haven North,BX65.0,5.0,2.0,65.0,3710.0
3848,BX,175.0,10456.0,BX14,East Concourse-Concourse Village,BX175.0,5.0,2.0,175.0,3708.0
3861,BX,165.0,10457.0,BX01,Claremont-Bathgate,BX165.0,5.0,2.0,165.0,3705.0
5153,MN,285.0,10040.0,MN35,Washington Heights North,MN285.0,61.0,1.0,285.0,3801.0
6440,QN,716.0,,QN98,Airport,QN716.0,81.0,4.0,716.0,4105.0
7740,BX,302.0,10475.0,BX13,Co-op City,BX302.0,5.0,2.0,302.0,3703.0
9932,BX,239.0,10453.0,BX40,Fordham South,BX239.0,5.0,2.0,239.0,3707.0
10001,BX,223.0,10452.0,BX63,West Concourse,BX223.0,5.0,2.0,223.0,3708.0
11409,MN,60.0,10009.0,MN50,Stuyvesant Town-Cooper Village,MN60.0,61.0,1.0,60.0,3808.0
14516,QN,918.0,,QN99,park-cemetery-etc-Queens,QN918.0,81.0,4.0,918.0,4114.0
17070,MN,240.0,10035.0,MN99,park-cemetery-etc-Manhattan,MN240.0,61.0,1.0,240.0,3804.0
118964,BX,1.0,11370.0,BX98,Rikers Island,BX1.0,5.0,2.0,1.0,3710.0
176731,SI,154.0,,SI99,park-cemetery-etc-Staten Island,SI154.0,85.0,5.0,154.0,3901.0
